City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Sola,VU,-13.8833,167.55,87.8,70,75,6.91,broken clouds
202,Saskylakh,RU,71.9167,114.0833,-33.81,82,100,11.7,overcast clouds
203,Aykhal,RU,66.0,111.5,-33.25,81,100,11.99,overcast clouds
204,Faya,SA,18.3851,42.4509,55.4,66,0,4.61,clear sky
205,Norman Wells,CA,65.282,-126.8329,-27.4,68,40,3.44,scattered clouds
206,Tarpon Springs,US,28.1461,-82.7568,64.99,72,2,1.32,clear sky
207,Luderitz,NA,-26.6481,15.1594,65.39,63,0,18.03,clear sky
208,Saint-Francois,FR,46.4154,3.9054,43.0,87,90,3.44,overcast clouds
209,Batticaloa,LK,7.7102,81.6924,77.81,81,79,3.33,broken clouds
210,Singaraja,ID,-8.112,115.0882,82.36,69,100,3.71,overcast clouds
211,San Ramon,US,37.7799,-121.978,57.99,58,90,8.05,overcast clouds
212,Qufu,CN,35.5967,116.9911,46.99,1,0,7.02,clear sky
213,Anopino,RU,55.6981,40.6671,22.35,98,100,8.52,light snow
214,Pueblo Nuevo,MX,23.3833,-105.3833,53.8,68,28,1.19,scattered clouds
215,Port Elizabeth,ZA,-33.918,25.5701,62.6,94,0,6.91,clear sky
216,Namibe,AO,-15.1961,12.1522,72.97,75,95,5.7,overcast clouds
217,Bentiu,SS,9.2333,29.8333,70.39,22,0,6.38,clear sky
218,Namakkal,IN,11.2213,78.1652,68.77,75,0,2.15,clear sky
219,Bethel,US,41.3712,-73.414,19.99,53,1,4.88,clear sky
220,Airai,TL,-8.9266,125.4092,62.82,100,100,5.79,overcast clouds
221,Riohacha,CO,11.5444,-72.9072,77.97,66,78,13.47,broken clouds
222,Khanpur,PK,28.6453,70.6567,48.81,40,0,1.83,clear sky
223,San Felipe,VE,10.3399,-68.7425,71.19,87,96,5.73,overcast clouds
224,Cururupu,BR,-1.8283,-44.8683,76.89,88,100,3.15,overcast clouds
225,Roald,NO,62.5833,6.1333,33.8,86,75,10.36,light snow
226,Fort Smith,US,35.3859,-94.3986,59.0,41,1,8.05,clear sky
227,Dourbali,TD,11.8091,15.8632,70.05,22,0,10.07,clear sky
228,Oktyabrskiy,RU,54.4815,53.471,25.56,98,100,6.91,overcast clouds
229,Esmeraldas,BR,-19.7625,-44.3139,78.8,64,0,6.91,clear sky
230,Jumla,NP,29.2747,82.1838,29.57,56,0,3.62,clear sky
231,Ivangorod,RU,59.3716,28.2162,24.06,98,100,6.46,light snow
232,Pangody,RU,65.85,74.4859,-20.15,85,100,18.72,overcast clouds
233,Les Cayes,HT,18.2,-73.75,73.15,77,62,6.08,broken clouds
234,Lingao,CN,19.9103,109.6859,67.44,82,0,14.76,clear sky
235,Jilemnice,CZ,50.6089,15.5065,19.0,90,55,2.8,broken clouds
236,Muslyumovo,RU,55.3033,53.1947,25.5,97,100,8.1,overcast clouds
237,Ancud,CL,-41.8697,-73.8203,57.0,76,0,5.75,clear sky
238,Salihorsk,BY,52.7876,27.5415,21.24,98,100,8.66,overcast clouds
239,Hobyo,SO,5.3505,48.5268,74.84,78,55,14.52,broken clouds
240,Kavaratti,IN,10.5669,72.642,80.78,72,4,9.06,clear sky
241,San Cristobal,VE,7.7669,-72.225,65.71,72,84,1.39,broken clouds
242,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,40,8.05,scattered clouds
243,Topolobampo,MX,25.6,-109.05,68.0,59,1,18.41,clear sky
244,Paamiut,GL,61.994,-49.6678,25.29,89,45,14.74,scattered clouds
245,Sokolo,ML,14.7328,-6.1219,68.65,21,88,10.36,overcast clouds
246,Kodiak,US,57.79,-152.4072,32.0,55,1,19.57,clear sky
247,Georgetown,MY,5.4112,100.3354,78.8,83,20,6.46,few clouds
248,Watsa,CD,3.0372,29.5355,71.38,39,99,1.57,overcast clouds
249,Sumter,US,28.7086,-82.0831,62.01,74,51,1.01,broken clouds
250,Hajipur,IN,25.6833,85.2167,39.2,93,0,5.17,fog
251,Camiri,BO,-20.05,-63.5167,72.19,80,100,1.12,overcast clouds
252,Abu Samrah,SY,35.3029,37.1841,48.79,68,94,14.14,overcast clouds
253,Aliman,RO,44.1833,27.85,39.99,100,93,11.5,mist
254,Kamaishi,JP,39.2667,141.8833,28.4,64,75,3.44,light snow
255,Casper,US,42.8666,-106.3131,33.8,80,75,4.61,broken clouds
256,Oranjemund,NA,-28.55,16.4333,60.39,91,2,7.47,clear sky
257,Esso,RU,55.9333,158.7,7.99,88,100,2.33,overcast clouds
258,Sisimiut,GL,66.9395,-53.6735,6.3,90,74,7.65,broken clouds
259,Meulaboh,ID,4.1363,96.1285,75.97,83,58,4.41,broken clouds
260,Kartuzy,PL,54.3342,18.1974,30.99,74,75,12.66,broken clouds
261,College,US,64.8569,-147.8028,-4.0,77,90,1.14,light snow
262,Iqaluit,CA,63.7506,-68.5145,-9.0,77,1,19.57,snow
263,Wenling,CN,28.3669,121.36,59.0,76,95,2.06,overcast clouds
264,Tiznit,MA,29.5833,-9.5,56.3,84,100,2.21,overcast clouds
265,Buta,CD,2.7858,24.73,66.54,50,0,1.79,clear sky
